PhiDot;Phi;Temp;kf
1.6;0.475;1000;126.645
1.6;0.475;1100;93.4212
1.6;0.5;800;266.612
1.6;0.5;900;187.829
1.6;0.5;1000;126.645
1.6;0.5;1100;93.4212
1.6;0.525;800;266.612
1.6;0.525;900;186.185
1.6;0.525;1000;125
1.6;0.525;1100;93.4212
1.6;0.55;800;265.461
1.6;0.55;900;185.033
1.6;0.55;1000;123.684
1.6;0.55;1100;92.9278
1.6;0.575;800;264.639
1.6;0.575;900;185.033
1.6;0.575;1000;123.684
1.6;0.575;1100;91.283
1.6;0.6;800;264.639
1.6;0.6;900;184.046
1.6;0.6;1000;123.684
1.6;0.6;1100;90.1317
1.6;0.625;800;263.487
1.6;0.625;900;182.402
1.6;0.625;1000;123.684
1.6;0.625;1100;90.1317
1.6;0.65;800;262.171
1.6;0.65;900;179.935
1.6;0.65;1000;123.684
1.6;0.65;1100;90.1317
1.6;0.675;800;259.869
1.6;0.675;900;178.619
1.6;0.675;1000;123.684
1.6;0.675;1100;90.1317
1.6;0.7;800;258.224
1.6;0.7;900;177.138
1.6;0.7;1000;123.684
1.6;0.7;1100;90.1317
1.6;0.725;800;256.086
1.6;0.725;900;175.494
1.6;0.725;1000;123.684
1.6;0.725;1100;88.158
1.6;0.75;800;255.264
1.6;0.75;900;172.533
1.6;0.75;1000;123.684
1.6;0.75;1100;87.5001
1.6;0.775;800;254.277
1.6;0.775;900;170.724
1.6;0.775;1000;122.204
1.6;0.775;1100;87.5001
1.6;0.8;800;252.796
1.6;0.8;900;169.079
1.6;0.8;1000;122.204
1.6;0.8;1100;87.5001
8;0.05;800;240.165
8;0.05;900;178.678
8;0.05;1000;127.107
8;0.05;1100;90.0826
8;0.075;800;263.967
8;0.075;900;189.587
8;0.075;1000;145.455
8;0.075;1100;99.5041
8;0.1;800;276.694
8;0.1;900;198.182
8;0.1;1000;150.909
8;0.1;1100;103.802
8;0.125;800;284.959
8;0.125;900;203.14
8;0.125;1000;155.537
8;0.125;1100;106.942
8;0.15;800;291.074
8;0.15;900;209.421
8;0.15;1000;159.008
8;0.15;1100;110.413
8;0.175;800;296.364
8;0.175;900;213.719
8;0.175;1000;161.818
8;0.175;1100;112.893
8;0.2;800;299.504
8;0.2;900;218.017
8;0.2;1000;163.306
8;0.2;1100;115.372
8;0.225;800;304.298
8;0.225;900;221.818
8;0.225;1000;165.124
8;0.225;1100;116.694
8;0.25;800;305.95
8;0.25;900;224.298
8;0.25;1000;165.124
8;0.25;1100;119.008
8;0.275;800;309.091
8;0.275;900;226.446
8;0.275;1000;165.785
8;0.275;1100;120
8;0.3;800;311.405
8;0.3;900;230.083
